2025-03-19 12:38:28,617 - root - INFO - nguoi dung didd da dang nhap - IP: 192.168.223.20, Device: Eynig, OS: Windows 11
2025-03-19 12:38:51,011 - root - INFO - Nguoi dung chon: 5 - IP: 192.168.223.20, Device: Eynig, OS: Windows 11
2025-03-19 12:38:51,011 - root - INFO - Nguoi dung thoat chuong trinh - IP: 192.168.223.20, Device: Eynig, OS: Windows 11
2025-03-19 12:43:55,613 - root - INFO - nguoi dung mmb da dang nhap - IP: 192.168.223.20, Device: Eynig, OS: Windows 11
2025-03-19 12:44:02,425 - root - INFO - Nguoi dung chon: 5 - IP: 192.168.223.20, Device: Eynig, OS: Windows 11
2025-03-19 12:44:02,426 - root - INFO - Nguoi dung thoat chuong trinh - IP: 192.168.223.20, Device: Eynig, OS: Windows 11
2025-03-20 12:12:39,070 - root - INFO - Nguoi dung chon: 3 - IP: 192.168.223.20, Device: Eynig, OS: Windows 11
2025-03-20 13:55:01,272 - root - INFO - Nguoi dung chon: 5 - IP: 192.168.223.20, Device: Eynig, OS: Windows 11
2025-03-20 13:55:01,272 - root - INFO - Nguoi dung thoat chuong trinh - IP: 192.168.223.20, Device: Eynig, OS: Windows 11
2025-03-20 13:59:59,588 - root - INFO - Nguoi dung chon: 5 - IP: 192.168.223.20, Device: Eynig, OS: Windows 11
2025-03-20 13:59:59,589 - root - INFO - Nguoi dung thoat chuong trinh - IP: 192.168.223.20, Device: Eynig, OS: Windows 11
2025-03-20 14:10:19,449 - root - INFO - Nguoi dung chon: 1 - IP: 192.168.223.20, Device: Eynig, OS: Windows 11
2025-03-20 14:10:21,793 - root - INFO - Nguoi dung chon ma hoa: 1 - IP: 192.168.223.20, Device: Eynig, OS: Windows 11
2025-03-20 19:42:13,357 - root - INFO - Nguoi dung chon: 5 - IP: 192.168.1.241, Device: Eynig, OS: Windows 11
2025-03-20 19:42:13,358 - root - INFO - Nguoi dung thoat chuong trinh - IP: 192.168.1.241, Device: Eynig, OS: Windows 11
2025-03-20 22:33:54,712 - root - INFO - Folder mã hóa: C:/Users/luan1/OneDrive/Desktop/encrypt/key
2025-03-21 15:10:31,977 - root - INFO - Nguoi dung chon: 1 - IP: 192.168.1.241, Device: Eynig, OS: Windows 11
2025-03-21 15:10:34,780 - root - INFO - Nguoi dung chon ma hoa: 1 - IP: 192.168.1.241, Device: Eynig, OS: Windows 11
